# 节点数  边数   ,108363  293298
34610,559
34610,86993
34610,42645
34610,67674
34610,52220
34610,97675
34610,43145
34610,83856
34610,102512
34610,91346
34610,34814
34610,24147
34610,94855
34610,25145
34610,48592
34610,55567
34610,27598
34610,83556
34610,98931
34610,86780
34610,77849
34610,94110
34610,34942
34610,82230
34610,97350
34610,90447
34610,48360
34610,77649
34610,38041
34610,45072
34610,2827
34610,28394
34610,76010
34610,93045
34610,24149
34610,91557
34610,6977
34610,92969
34610,26654
34610,48437
34610,105287
34610,104293
34610,50861
34610,75715
34610,53345
34610,25032
34610,20946
34610,100774
34610,83168
34610,84298
34610,81808
34610,49024
34610,50481
34610,36349
34610,75718
34610,25789
34610,23754
34610,14562
34610,37548
34610,88808
34610,44343
34610,52992
34610,45352
34610,85276
34610,27548
34610,66699
34610,80718
34610,55823
34610,50084
34610,52901
34610,50485
34610,21415
34610,10220
34610,93781
34610,89907
34610,86316
34610,24830
34610,65602
34610,22185
34610,49679
34610,89277
34610,20510
34610,49125
34610,25572
34610,45552
34610,86559
34610,4756
34610,36316
34610,71925
34610,92865
34610,39312
34610,53662
34610,1025
34610,78446
34610,83033
34610,994
34610,16513
34610,36275
34610,92690
34610,35625
34610,78188
34610,81613
34610,105238
34610,52524
34610,35208
34610,79641
34610,48469
34610,35158
34610,92354
34610,93797
34610,94795
34610,27160
34610,3056
34610,94570
34610,57995
34610,99390
34610,50949
34610,19002
34610,10093
34610,89986
34610,75546
34610,89266
34610,106387
34610,36107
34610,24087
34610,8215
34610,45557
34610,38094
34610,88578
34610,80544
34610,99400
34610,55652
34610,48198
34610,5477
34610,85593
34610,75772
34610,87869
34610,1134
34610,49463
34610,37915
34610,49022
34610,72805
34610,34513
34610,75792
34610,7397
34610,26504
34610,99190
34610,95439
34610,30138
34610,46629
34610,82322
34610,34349
34610,25321
34610,83541
34610,20898
34610,75515
34610,77746
34610,68835
34610,82911
34610,45375
34610,4013
34610,76212
34610,12480
34610,76254
34610,37034
34610,87686
34610,37376
34610,84273
34610,48712
34610,66560
34610,34686
34610,46194
34610,94536
34610,743
34610,5834
34610,15649
34610,23512
34610,48349
34610,71049
34610,52647
34610,84593
34610,50914
34610,82464
34610,56351
34610,105531
34610,80190
34610,24156
34610,83028
34610,93125
34610,92588
34610,94387
34610,92321
34610,50328
34610,24029
34610,68917
34610,88099
34610,90414
34610,29016
34610,76628
34610,16752
34610,23736
34610,47773
34610,66514
34610,48470
34610,16048
34610,35896
34610,10729
34610,94452
34610,78286
34610,48846
34610,32363
34610,81819
34610,35827
34610,24851
34610,51042
34610,7211
34610,26029
34610,30823
34610,48222
34610,86822
34610,50805
34610,93382
34610,24124
34610,54126
34610,48180
34610,97102
34610,85274
34610,57759
34610,94805
34610,83120
34610,105911
34610,12019
34610,48115
34610,107952
34610,4961
34610,45427
34610,72358
34610,23897
34610,9795
34610,84589
34610,24856
34610,91447
34610,56485
34610,100472
34610,48287
34610,95998
34610,60395
34610,102670
34610,83803
34610,26862
34610,35322
34610,55435
34610,52699
34610,83942
34610,3070
34610,11244
34610,45587
34610,23931
34610,37939
34610,9933
34610,105265
34610,41883
34610,32933
34610,47125
34610,92206
34610,76570
34610,47664
34610,56301
34610,35895
34610,7135
34610,45483
34610,67603
34610,96785
34610,55070
34610,1423
34610,16956
34610,49020
34610,46239
34610,41030
34610,96279
34610,16470
34610,83177
34610,71921
34610,88518
34610,34825
34610,46430
34610,12093
34610,48791
34610,30028
34610,23726
34610,88286
34610,48584
34610,86856
34610,8506
34610,30525
34610,6491
34610,45902
34610,873
34610,61223
34610,53719
34610,86038
34610,50673
34610,79297
34610,70102
34610,25261
34610,48189
34610,49723
34610,47892
34610,75677
34610,81182
34610,100976
34610,61800
34610,33005
34610,942
34610,104715
34610,76352
34610,63732
34610,92112
34610,56560
34610,45106
34610,34703
34610,45183
34610,44144
34610,86742
34610,38763
34610,41049
34610,46226
34610,47576
34610,14597
34610,107825
34610,91423
34610,40776
34610,79460
34610,33602
34610,26234
34610,46587
34610,54423
34610,47132
34610,98801
34610,50834
34610,60409
34610,80580
34610,80067
34610,86086
34610,73056
34610,81980
34610,15552
34610,77449
34610,83005
34610,35967
34610,100947
34610,25279
34610,100558
34610,32617
34610,30386
34610,86594
34610,91707
34610,46320
34610,52612
34610,45331
34610,45293
